predicate;question
http://dbpedia.org/ontology/distributor;what movie is produced by warner bros.
http://purl.org/linguistics/gold/hypernym;What is don graham known as?
http://dbpedia.org/ontology/location;what's there to see in columbus
http://dbpedia.org/ontology/birthPlace;who is a musician born in detroit
http://dbpedia.org/ontology/hometown;Which city did the artist ryna originate in
http://dbpedia.org/ontology/producer;who produced the film rough house rosie
http://dbpedia.org/ontology/language;what is the language in which mera shikar was filmed in
http://dbpedia.org/ontology/place;Whats the name of a battle that happened in chicago
http://dbpedia.org/ontology/location;which country is cheney tech in
http://dbpedia.org/ontology/battle;which red army general was involved in the great patriotic war?
http://dbpedia.org/ontology/position;what is the position that  mike twellman plays
http://dbpedia.org/ontology/isPartOf;what is a name of gay night club in england
http://dbpedia.org/ontology/country;Name a location in italy
http://dbpedia.org/ontology/nationality;what is ellen swallow richards's nationality?
http://dbpedia.org/ontology/isPartOf;Name a city in Nepal.
http://dbpedia.org/ontology/genre;Name a post-punk artist
http://dbpedia.org/ontology/type;what is an example of a private university
http://xmlns.com/foaf/0.1/gender;what is the gender of james hendry?
http://dbpedia.org/ontology/type;what is a school under the high school category
http://dbpedia.org/ontology/influencedBy;who did jean genet influence
http://dbpedia.org/ontology/occupation;who was a voice actor?
http://dbpedia.org/ontology/region;What is a mountain in the appalachian mountains
http://dbpedia.org/ontology/spokenIn;What country utilizes the tomadino language
http://dbpedia.org/ontology/class;in what automotive class is the hyundai santa fe
http://dbpedia.org/ontology/artist;Name an album by serge gainsbourg
http://dbpedia.org/ontology/author;what is a book by laura ingalls wilder
http://dbpedia.org/ontology/genre;What type of music fall heads roll
http://dbpedia.org/ontology/cinematography;Who was the cinematographer for the film endless love?
http://dbpedia.org/ontology/genre;what musical genre does  brandon reilly create
http://dbpedia.org/ontology/isPartOf;whats a city in hungary
http://dbpedia.org/ontology/birthPlace;where in germany was rudi ball born in?
http://dbpedia.org/ontology/languageFamily;what language comes from bodish languages
http://dbpedia.org/ontology/timeZone;what time zone is marrakech in?
http://dbpedia.org/ontology/genre;name a japanese action film
http://dbpedia.org/ontology/birthPlace;which country does harry blackstone, jr. come from
http://dbpedia.org/ontology/timeZone;What's a place in central european time zone
http://dbpedia.org/ontology/director;what movie did liliana cavani direct?
http://purl.org/linguistics/gold/hypernym;in what format was destroy the machines released
http://dbpedia.org/ontology/genre;What kind of video game is the dog island
http://purl.org/linguistics/gold/hypernym;what television genre is the starter wife?
http://dbpedia.org/ontology/genre;Who is an artist known for alternative hip hop?
http://dbpedia.org/ontology/hometown;where is the artist vitas  from
http://dbpedia.org/ontology/author;What did jane austen write?
http://dbpedia.org/ontology/isPartOf;What district is salempur, uttar pradesh in?
http://dbpedia.org/ontology/nationality;What is the nationality of estella warren?
http://purl.org/linguistics/gold/hypernym;what type of reserve is the san juan national forest
http://dbpedia.org/ontology/distributor;What is a film produced by the national film board of canada?
http://purl.org/linguistics/gold/hypernym;Is the golden age an album or dvd
http://xmlns.com/foaf/0.1/gender;what gender does eugenio sales identify as
http://dbpedia.org/ontology/birthPlace;Name a person born in chicago.
http://dbpedia.org/ontology/genre;what kind of music does john duffey play
http://dbpedia.org/ontology/artist;what tracks are by slinkeeminx?
http://dbpedia.org/ontology/musicComposer;who wrote the music for gangs of new york
http://xmlns.com/foaf/0.1/gender;what is the gender of sophie merry?
http://dbpedia.org/ontology/hometown;What is moderat's origin?
http://dbpedia.org/ontology/writer;What film story credits did louis n. parker contribute to?
http://dbpedia.org/ontology/genre;What genre of music is on the album get damned
http://dbpedia.org/ontology/genre;what kind of tv show is frontpage
http://dbpedia.org/ontology/writer;what is an episode written by michelle ashford
http://purl.org/linguistics/gold/hypernym;what is james g. blaine most known for
http://dbpedia.org/ontology/genre;whats the name of a heavy metal artist
http://dbpedia.org/ontology/industry;What industry does aventurine sa participate in
http://dbpedia.org/ontology/ideology;which is the main ideology of the communist party of britain?
http://dbpedia.org/ontology/genre;what album has folk music?
http://dbpedia.org/ontology/writer;Who wrote the film thunderbolt and lightfoot?
http://xmlns.com/foaf/0.1/gender;what is imam mustafayev's gender
http://purl.org/linguistics/gold/hypernym;What is darren dods known for doing for a profession
http://dbpedia.org/ontology/genre;what type of music is robert roth known for?
http://dbpedia.org/ontology/manufacturer;who is the manufacturer of sikorsky hh-60 jayhawk?
http://dbpedia.org/ontology/genre;what type of film is generation kill
http://dbpedia.org/ontology/recordLabel;which recording label is webbie with?
http://dbpedia.org/ontology/location;what is located in fort washington?
http://dbpedia.org/ontology/birthPlace;which country is john berry from
http://purl.org/linguistics/gold/hypernym;What is joseph meyer's job
http://purl.org/linguistics/gold/hypernym;What kind of book is home?
http://dbpedia.org/ontology/genre;what kinds of software is mldonkey
http://dbpedia.org/ontology/nationality;what is the nationality of lorenzo maitani?
http://dbpedia.org/ontology/region;Where is abu located?
http://purl.org/linguistics/gold/hypernym;what genre is the book in the line of fire: a memoir
http://xmlns.com/foaf/0.1/gender;What is Alan Pierson's gender?
http://dbpedia.org/ontology/literaryGenre;what is the genre of the book the hydrofoil mystery
http://dbpedia.org/ontology/genre;which video game genre is sauerbraten (game)
http://dbpedia.org/ontology/isPartOf;what is the zip code for alameda county, california
http://dbpedia.org/ontology/influencedBy;Who influenced jerry seinfeld
http://purl.org/linguistics/gold/hypernym;what was released as an album
http://dbpedia.org/ontology/type;what type of university is lee university
http://dbpedia.org/ontology/deathCause;Which football player's cause of death was murder?
http://dbpedia.org/ontology/country;name a town and comune in italy
http://dbpedia.org/ontology/birthPlace;What actor was born in lodz
http://dbpedia.org/ontology/isPartOf;what country is lake belt township in?
http://dbpedia.org/ontology/genre;What genre of music does alternative country make?
http://dbpedia.org/ontology/birthPlace;who was born in pittsburgh
http://dbpedia.org/ontology/genre;is big sugar a blues or contemporary rhythm and blues album
http://dbpedia.org/property/position;which position does robert williams play in american football
