class;question
RES;List all boardgames by GMT.
RES;Who developed Skype?
RES;Which people were born in Heraklion?
RES;In which U.S. state is Area 51 located?
RES;Who is the mayor of New York City?
RES;Which countries have places with more than two caves?
RES;Where did Abraham Lincoln die?
RES;Which airports does Air China serve?
RES;Give me all actors starring in movies directed by and starring William Shatner.
RES;What are the official languages of the Philippines?
RES;Give me all Danish films.
RES;Which movies starring Brad Pitt were directed by Guy Ritchie?
NUM;Give me the grandchildren of Bruce Lee.
RES;Which other weapons did the designer of the Uzi develop?
RES;Who is the owner of Universal Studios?
RES;Which state of the USA has the highest population density?
RES;Which monarchs were married to a German?
RES;Which organizations were founded in 1950?
RES;Who created the comic Captain America?
RES;Give me the Apollo 14 astronauts.
RES;Who wrote the book The pillars of the Earth?
RES;Which state of the United States of America has the highest density?
RES;Which spaceflights were launched from Baikonur?
RES;Give me a list of all trumpet players that were bandleaders.
RES;Which U.S. states are in the same timezone as Utah?
RES;Which U.S. states possess gold minerals?
RES;Who is the daughter of Ingrid Bergman married to?
NUM;How deep is Lake Placid?
RES;Show me all museums in London.
RES;Which caves have more than 3 entrances?
RES;Who is the tallest player of the Atlanta Falcons?
RES;What are the top-10 action role-playing video games according to IGN?
RES;Give me all writers that won the Nobel Prize in literature.
RES;Show me all basketball players that are higher than 2 meters.
NUM;When was the Statue of Liberty built?
RES;Which states border Illinois?
RES;Who developed Minecraft?
RES;Where did Hillel Slovak die?
RES;What movies does Jesse Eisenberg play in?
RES;Give all swimmers that were born in Moscow.
RES;Give me all cosmonauts.
RES;Give me all Swiss non-profit organizations.
RES;Which presidents were born in 1945?
RES;What kind of music did Lou Reed play?
RES;Where do the Red Sox play?
RES;Show a list of soccer clubs that play in the Bundesliga.
RES;Which volcanos in Japan erupted since 2000?
RES;Which bridges cross the Seine?
RES;What is the official color of the University of Oxford?
NUM;How many films did Hal Roach produce?
RES;Give me all Danish movies.
RES;What is the most frequent cause of death?
RES;Who are the four youngest MVP basketball players?
RES;Give me all companies in Munich.
RES;Give me the capitals of all countries that the Himalayas run through.
NUM;How many movies did Park Chan-wook direct?
RES;Which rivers flow into a German lake?
NUM;How many airlines are there?
RES;Give me all islands that belong to Japan.
NUM;How many inhabitants does Maribor have?
RES;Give me all Apollo 14 astronauts.
RES;Which companies have more than 1 million employees?
RES;In which films directed by Garry Marshall was Julia Roberts starring?
RES;Give me all soccer clubs in the Premier League.
RES;What is the highest place of the Urals?
RES;Who is the governor of Wyoming?
RES;Where did the architect of the Eiffel Tower study?
RES;Give me all world heritage sites designated within the past two years.
RES;Give me all actors who were born in Paris after 1950.
RES;Which movies star both Liz Taylor and Richard Burton?
RES;Give me all Australian nonprofit organizations.
RES;Which pope succeeded John Paul II?
RES;Give me all ESA astronauts.
RES;Who was president of Pakistan in 1978?
RES;Who is the owner of Rolls-Royce?
RES;How many museums does Paris have?
RES;Where was JFK assassinated?
RES;Give me all federal chancellors of Germany.
RES;Show me everyone who was born on Halloween.
RES;Which beer originated in Ireland?
RES;To which countries does the Himalayan mountain system extend?
RES;Which actors were born in Germany?
NUM;How much carbs does peanut butter have?
RES;Who produced the most films?
NUM;How many employees does Google have?
RES;Give me all actors who were born in Berlin.
RES;Who created Goofy?
RES;Which music albums contain the song Last Christmas?
NUM;When was Alberta admitted as province?
NUM;How many missions does the Soyuz programme have?
RES;Give me all the TV shows with Neil Patrick Harris.
NUM;When were the Hells Angels founded?
NUM;What is the net income of Apple?
RES;Give me all Swedish holidays.
RES;In which city was the former Dutch queen Juliana buried?
RES;List all the musicals with music by Leonard Bernstein.
NUM;Give me all companies in the advertising industry.
RES;What is the largest metropolitan area in Washington state?
RES;Who killed John Lennon?
RES;Which writers studied in Istanbul?
RES;Give me all Australian metalcore bands.
RES;Which countries adopted the Euro?
RES;Give me all types of eating disorders.
BOOL;Was Marc Chagall a jew?
NUM;What was Brazil's lowest rank in the FIFA World Ranking?
NUM;How many films did Leonardo DiCaprio star in?
BOOL;Was Margaret Thatcher a chemist?
RES;Which U.S. states are in the same time zone as Utah?
RES;Give me all books written by Danielle Steel.
RES;Which country has the most official languages?
NUM;What is the total amount of men and women serving in the FDNY?
RES;Which actor played Chewbacca?
RES;Give me all libraries established earlier than 1400.
RES;Which programming languages were influenced by Perl?
RES;In which U.S. state is Mount McKinley located?
RES;What airlines are part of the SkyTeam alliance?
RES;Which ships were called after Benjamin Franklin?
RES;Give me all Methodist politicians.
RES;What other books have been written by the author of The Fault in Our Stars?
RES;What is the highest mountain?
RES;Which poet wrote the most books?
RES;Which programming languages influenced Javascript?
RES;Which musician wrote the most books?
RES;Which films starring Clint Eastwood did he direct himself?
RES;Which software has been developed by organizations founded in California?
RES;Which instruments does Cat Stevens play?
NUM;How many airlines are members of the Star Alliance?
RES;Give me all actors called Baldwin.
RES;Who wrote The Hunger Games?
RES;For which label did Elvis record his first album?
BOOL;Is Christian Bale starring in Batman Begins?
RES;Where is the residence of the prime minister of Spain?
RES;Which actor was casted in the most movies?
RES;Which countries have more than two official languages?
RES;Which countries have more than ten caves?
RES;Show me all songs from Bruce Springsteen released between 1980 and 1990.
RES;Which television shows were created by John Cleese?
NUM;When did Latvia join the EU?
RES;Which soccer players were born on Malta?
NUM;How many politicians graduated from Columbia University?
NUM;Give me the birthdays of all actors of the television show Charmed.
NUM;Which telecommunications organizations are located in Belgium?
RES;Give me a list of all lakes in Denmark.
NUM;How many children does Eddie Murphy have?
RES;Show me all English Gothic buildings in Kent.
RES;Who is the manager of Real Madrid?
RES;In which countries can you pay using the West African CFA franc?
RES;Which holidays are celebrated around the world?
RES;What is the longest river?
RES;Which organizations were founded in 1930?
RES;What is the birth name of Angela Merkel?
RES;Who has Tom Cruise been married to?
RES;Which weapons did Heckler & Koch develop?
RES;What is the smallest city by area in Germany?
RES;What is the ruling party in Lisbon?
NUM;How heavy is Jupiter's lightest moon?
NUM;How many employees does IBM have?
RES;List all episodes of the first season of the HBO television series The Sopranos!
RES;What does ICRO stand for?
BOOL;Does the new Battlestar Galactica series have more episodes than the old one?
RES;Give me all films produced by Hal Roach.
RES;Who played Agent Smith in Matrix?
RES;Which Greek parties are pro-European?
RES;Give me a list of all bandleaders that play trumpet.
RES;What is the second highest mountain on Earth?
BOOL;Is Egypts largest city also its capital?
RES;Which rockets were launched from Baikonur?
NUM;How many programming languages are there?
RES;Which Chess players died in the same place they were born in?
RES;Who is the owner of Facebook?
RES;Give me all movies with Tom Cruise.
RES;In which U.S. state is Fort Knox located?
RES;Give me all cities in New Jersey with more than 100000 inhabitants.
RES;Which mountains are higher than the Nanga Parbat?
RES;Give me all B-sides of the Ramones.
RES;What are the specialities of the UNC Health Care?
NUM;When was Olof Palme shot?
RES;List the seven kings of Rome.
RES;Give me all people that were born in Vienna and died in Berlin.
BOOL;Is Darth Vader Luke’s father?
RES;Show me all the breweries in Australia.
RES;Give me all films produced by Steven Spielberg with a budget of at least $80 million.
RES;Give me all soccer clubs in Spain.
RES;Who produced films starring Natalie Portman?
RES;Give me all breeds of the German Shepherd dog.
RES;Who is the heaviest player of the Chicago Bulls?
RES;Which languages are spoken in Estonia?
RES;What is the largest country in the world?
RES;What is the largest city in america?
RES;Who was the pope that founded the Vatican Television?
RES;Who discovered Ceres?
RES;Who is the king of the Netherlands?
BOOL;Is Cola a beverage?
RES;What is the alma mater of the chancellor of Germany Angela Merkel?
RES;Who wrote the book Les Piliers de la terre?
RES;Which airports does Yeti Airlines serve?
RES;Where is the birthplace of Goethe?
BOOL;Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?
RES;Which ingredients do I need for carrot cake?
RES;Who created Wikipedia?
RES;What is the highest mountain in Saxony Germany?
RES;Who is the current federal minister of finance in Germany?
RES;In which country is Mecca located?
RES;Who played Gus Fring in Breaking Bad?
RES;In which country does the Nile start?
RES;In which state Penn State University is located?
RES;What is the biggest stadium in Spain?
RES;Who is the coach of Ankara's ice hockey team?
NUM;How large is the area of UK?
RES;Who created Batman?
BOOL;Was Sigmund Freud married?
RES;Who are the developers of DBpedia?
RES;Give me all movies directed by Francis Ford Coppola.
BOOL;Are tree frogs a type of amphibian?
RES;What is the location of the Houses of Parliament?
NUM;how much is the elevation of Düsseldorf Airport ?
NUM;How much is the population of mexico city ?
NUM;when was the founding date of french fifth republic?
RES;Who was the first King of England?
RES;Who is the editor of Forbes?
RES;Which awards did Douglas Hofstadter win?
RES;Who is the youngest Darts player?
BOOL;Is horse racing a sport?
RES;Which river does the Brooklyn Bridge cross?
NUM;How many people live in Poland?
NUM;When was the last episode of the TV series Friends aired?
BOOL;Is the wife of president Obama called Michelle?
RES;Who is 8th president of US?
NUM;how much is the total population of  european union?
RES;Give me all launch pads operated by NASA.
RES;Who developed the video game World of Warcraft?
RES;What is the birth name of Adele?
NUM;What is the population of Cairo?
BOOL;Is Frank Herbert still alive?
RES;What is the last work of Dan Brown?
RES;Where is Sungkyunkwan University?
RES;Who is the author of the interpretation of dreams?
NUM;When was the death  of  Shakespeare?
RES;Who developed Slack?
RES;Where is the origin of Carolina reaper?
NUM;In which year was Rachel Stevens born?
NUM;How often did Jane Fonda marry?
BOOL;Was the wife of president Lincoln called Mary?
RES;Which cities does the Weser flow through?
RES;In which programming language is GIMP written?
RES;Which university did Angela Merkel attend?
RES;List all the musicals with music by Elton John.
NUM;How many Aldi stores are there?
RES;What is the longest river in the world?
NUM;When was John Adams born?
RES;Which companies produce hovercrafts?
RES;Who was the wife of U.S. president Lincoln?
RES;Which species does an elephant belong?
NUM;How many people live in the capital of Australia?
RES;In which ancient empire could you pay with cocoa beans?
NUM;How many theories did Albert Einstein come up with?
RES;Who composed the soundtrack for Cameron's Titanic?
NUM;Give me the runtime of Toy Story.
RES;With how many countries Iran has borders?
RES;Which electronics companies were founded in Beijing?
RES;Who was the successor of John F. Kennedy?
RES;Who is the mayor of Paris?
BOOL;Did Arnold Schwarzenegger attend a university?
BOOL;Is James Bond married?
BOOL;Does the Isar flow into a lake?
RES;Which Indian company has the most employees?
RES;Who was John F. Kennedy's vice president?
RES;Which country does the creator of Miffy come from?
RES;In what city is the Heineken brewery?
BOOL;Is Barack Obama a democrat?
RES;List the children of Margaret Thatcher.
RES;From which region is the Melon de Bourgogne?
NUM;how big is the total area of North Rhine- Westphalia?
RES;Which city has the most inhabitants?
RES;What is Donald Trump's main business?
NUM;When will start the final match of the football world cup 2018?
RES;Which films did Stanley Kubrick direct?
NUM;how much is the population  Iraq?
NUM;How many inhabitants does the largest city in Canada have?
RES;Who is the mayor of the capital of French Polynesia?
RES;Give me all actors starring in movies directed by William Shatner.
NUM;How tall is Claudia Schiffer?
NUM;how much is the population densty rank of germany?
RES;What is the highest mountain in Italy?
RES;List all games by GMT.
RES;What is the official language of Suriname?
RES;In which city did Nikos Kazantzakis die?
RES;What is in a chocolate chip cookie?
RES;In which country is the Limerick Lake?
RES;Give me all video games published by Mean Hamster Software.
RES;Give me all members of Prodigy.
RES;In which time zone is Rome?
NUM;How high is the lighthouse in Colombo?
RES;Who are the writers of the Wall album of Pink Floyd?
RES;Who is the mayor of Rotterdam?
RES;What is the largest city in Australia?
RES;Who was married to president Chirac?
RES;What form of government is found in South Africa?
NUM;How high is the Yokohama Marine Tower?
RES;Which holidays are celebrated around the world? test2
RES;Who is the tallest basketball player?
NUM;How many languages are spoken in Turkmenistan?
BOOL;Did Che Guevara have children?
BOOL;Did Kaurismäki ever win the Grand Prix at Cannes?
RES;To which party does the mayor of Paris belong?
RES;Who is the Formula 1 race driver with the most races?
