class;question
NUM;How many movies did Stanley Kubrick direct?
RES;Which city's foundeer is John Forbes?
RES;What is the river whose mouth is in deadsea?
RES;What is the allegiance of John Kotelawala ?
NUM;How many races have the horses bred by Jacques Van't Hart participated in?
RES;What is the incumbent of the Al Gore presidential campaign, 2000 and also the president of the Ann Lewis ?
RES;What is the region of Tom Perriello ?
RES;What layout can be found in cars similar to the Subaru Outback?
RES;Starwood operates in which places?
RES;Name the mascot of Austin College ?
RES;What was the university of the rugby player who coached the Stanford rugby teams during 1906-1917?
NUM;How many people live in Wilton, Connecticut?
RES;What awards did the film director of The Haunted House win ?
RES;Name the origin of Henry Cluney ?
RES;List the things for which people of New Orleans are famous for?
RES;What sports are played in schools in the capital region?
RES;What company brought Riddim Ribbon to the market, and developed the batch monitor?
RES;In which part of the world can i find Xynisteri and Mavro?
RES;which awards have been given to people who fought in the Battle of France?
RES;Name the resting place of Charles Edward Magoon ?
RES;Who built the stadium which was rented for the 2013 Copa Centroamericana ?
RES;Who was the silver medalist of Gymnastics at the 2008 Summer Olympics  Women's artistic individual all-around ?
RES;what are some common surnames of female people?
RES;Which company owns the manufacturer of the Edsel Ranger?
NUM;List the total number of board members who share board with Creative commons ?
RES;Who is the leader of United States House of Representatives elections, 1788 and 1789 ?
RES;The fugitive Kind and the Notebook of Trigorin is written by what author?
RES;Name the mountain whose range is Sierra Nevada (U.S.) and parent mountain peak is Nevado de Toluca?
RES;Where did the  designer of Monument to Salavat Yulaev die?
NUM;How many mammals are in the Chordate phylum?
RES;List the battles fought by Roh Tae-woo ?
RES;Which genre of books are published by Random House?
RES;Which famous political figure appointed william cushing, and also founded Pittsburgh>
RES;Which newspapers are owned by companies which are under Rolv Erik Ryssdal?
RES;Which series has an episode called The lost special and also a character named Sherlock Holmes ?
RES;What are some Louisiana based models known for?
RES;List the common official language of the ladonia and Empire of Atlantium ?
RES;What are the prizes won by the animator of The Skeleton Dance ?
RES;Which office holder's constituency is Haight-Ashbury and has military unit as USS Kittiwake ?
RES;What is the region of the ethnic group which speaks the language of Arkansas?
RES;What is the religion of the member of parliament who is a relative of Sarathchandra Rajakaruna?
RES;What organisation regulates and controls the New Sanno Hotel?
RES;Who is the common manager of Aston Villa 2000-02 season and aldo the manager of Middlesbrough F.C. season 2009-10
BOOL;Was Ganymede discovered by Galileo Galilei?
RES;Name the F1 racer with relative as Ralf Schumacher and has child named Mick Schumacher?
BOOL;Does the Toyota Verossa have the front engine design platform?
RES;What are some other products of the banks which makes Postbanken?
RES;What is the occupation of the Irving Chernev and Karen Grigorian?
RES;Who produces the trains operated by the MTR?
RES;Name the TV show with distributor as Broadcast syndication and has theme music composed by Primus ?
RES;In which countries can i find some feminist writers?
RES;In which teams did anyone who played as a defencemen, play previously?
RES;What are the other band member of the Bands whose current members is Hynief?
RES;Which line of the Vadodara Junction railway station is the route end of Mumbai Vadodara Expressway ?
RES;Who authored the works published in the Jump Square Magazine?
NUM;How many things are aired on BBC HD?
RES;Which work of Craig van Tilbury is close to the area of The Chess Monthyl ?
RES;Where does the successor of Thongsuk Samdaengpan reside?
RES;What is the location city of the Denver Broncos which is also  place of birth of the William C. Cramer ?
BOOL;Was Mark Twain a character of Mark Twain Tonight?
RES;List bacteria whose order (taxonomy) is Bacillales and domain is Bacteria?
RES;What is the place of the Geography Club (play) which is also the  official residence of the Scott Berkun?
RES;What are some characters of series produced by Ricky Grevais?
BOOL;Is the song Killing is Out, School is in belong in the The Next Step?
RES;Which band's  former member are Kevin Jonas and Joe Jonas?
NUM;Count all those whose youth club was managed by Luis Enrique.
BOOL;Is camel  of the chordate phylum?
RES;What is the purpose of the Maharashtra Chess Association which is genere of PyChess?
RES;Whose former teams are Indianapolis Colts and Carolina Panthers?
RES;In which language is All I need is Your Sweet lovin written ?
RES;Which colonel consort is Dolley Madison?
RES;Which title of Zaman Shah Durrani is also the nationality of Salahuddin ?
BOOL;Does the merlin express have a hub at the cibano international airport?
BOOL;Was Duanne Allman known to play the Les Paul?
RES;List the judges of Rising Star which is also the artist of Brad Paisley discography ?
RES;Who are some people whose relation is hqed in Gold Base?
RES;Which party does Iqbal Singh and B Shiva Rao currently belong to?
RES;In which state is the alma mater of Ben Ysursa located ?
RES;What sport amongst the one Lagos Preparatory School practices, did Willian Garne play for?
RES;What are the beverages whose origin is England?
RES;Which current member of Insect vs Robots is also the music composer of Kenny Dies ?
RES;What are the television shows whose distributer is HBO?
RES;What is the distributing label of StandBy Records ?
RES;Who is the film star of On Air with Ryan Seacrest ?
RES;Who have children named James Roosevelt and Franklin Delano Roosevelt, Jr.?
NUM;In how many different places does Canal and River Trust own its assets?
NUM;Count the total number of launch site of the rockets which have been launched form Cape Canaveral Air Force Station ?
RES;List some leaders of regions in the Indian Standard Time Zone?
RES;Name some comic characters created by Bruce Timm?
RES;Which university attended by Franklin W. Olin was also the alma mater of Patty Lin ?
RES;Whihc associate of THomas Bryan Martin is also the founder of Pittsburgh ?
RES;Who gives the license of WXXV-DT2 ?
NUM;Count the number of sports played by schools which play hockey ?
RES;List the tomb of the royalties whose burial place is Little Easton ?
RES;What are some relatives of the people who fought in Operation Barbarossa?
NUM;How many awards have been given to screenwriters?
RES;Who is the builder of Estadio Nacional de Costa Rica (2011) ?
NUM;How many software run on operating system is Microsoft Windows?
RES;What is the awards given to the horse whose grandson is the famous Counterpoint?
RES;Where is the swedish covenant hospital?
RES;Who won a Norbert Wiener Award for Social and Professional Responsibility?
RES;What awards have been given to Screenwriters?
RES;Which office's people have died on the US Route 165?
RES;In which races have Tillingdale's horses participated?
RES;List the show related to the which was followed by Doctor Who Extra?
RES;What is the predecessor of the automobile which is the related of Cadillac Fleetwood?
RES;Which country's largest city is Lima?
RES;Whose opponents are Ike Clanton and Billy Clanton?
RES;List the institute of Robert hall ?
RES;To which religion does the commander of South Thailand insurgency belong?
RES;Who was the writer of the novel Maniac Magee?
RES;Where is Emmett Hughes from?
RES;What are the movies whose music is given by Laurie Johnson?
RES;What appliance Sony made after the success of PlayStation 2?
RES;What are some cars similar to luxury cars?
RES;What television show is magistrated by Harry Connick, Jr.?
BOOL;Did Paul Weatherwax an editor of Behave Yourself?
BOOL;does the journal of cancer have the creative commons license?
RES;What genre of games are made by Blizzard Entertainment studios?
RES;Name the series of Doctor Who: Evacuation Earth ?
RES;List the awards won by the writer of Face to Face ?
RES;What is the common party of Chandra Shekhar and Govinda  ?
RES;What awards were given to the screenplayer of The Motorcycle Diaries?
BOOL;Was Jack Ryan a nominee of US Senate?
RES;What are some music artists whose bands have signed up with Entertainment One Music?
RES;What team did Dan Daoust and Don Ashby play for?
RES;Name the broadcast area of  Radio Philippines Network ?
RES;Which district of Fort Heath radar station is also the state of Joesph Story ?
RES;Which river's mouth is located in Gulf of Mexico and has source location as Itasca State Park ?
BOOL;Is my truly truly fair the band of mitch miller?
RES;Which religion is prevalent in the schools of the Ashanti region?
RES;Which politician was succeeded by someone who graduated from the Instituts d'tudes politiques?
NUM;How many different mascots are there of the NCAA teams?
RES;Which of the continents that Digitalb worked in, was christine rolfes born in?
RES;Which nation hosts the WTA Tour Championships?
RES;Name the television show whose theme music is composed by Julian Gingell and broadcasted on FOX ?
RES;What is the prize received by the one who wrote the screen play of The Postman  ?
RES;What are the awrds won by Laemmle Theatres ?
BOOL;Is nintendo in the video games industry?
RES;Name the office holder whose predecessor is  Henry E. Catto, Jr. and won Screen Actors Guild Life Achievement Award?
RES;Which notable commanders of the Army Group Oberrhein (Germany) is the  leader of the Kriminalpolizei?
RES;Which maintainer of Cheasty Boulevard South is also the city of Soccer Bowl' 76 ?
RES;Which colonel has allegiance to Colony of Virginia ?
RES;Which driver came first in the 1993 European Grand Prix ?
RES;What is the layout of the cars similar to that of the Subaru Outback?
RES;Name the university which has Lieutenaunt general as superintendent and mascot as Gyrfalcon ?
NUM;How many other ingredient are there in the foods whihh have one of the ingredient as Potato ?
RES;In which country is the Duong river?
NUM;How many companies have launched their rockets from the Vandenerg Air base?
RES;List the destinations to which the airlines headquartered at the Gatwick Airport fly to?
RES;What are some given names for males?
RES;The official residence of Sukhumbhand paribatra ?
RES;What are the television shows whose company's predecessor is Desilu Productions?
RES;What is operated by FedExField ?
RES;Which battle did both Steven Palazao and tony hogg fight in?
RES;Which company which assembles its cars in Broadmeadows, Victoria?
RES;List the people casted in Betsy's Wedding and 16 candles?
NUM;Foxconn makes how many things?
